set_id,price,brand,Betriebssystem,Speicherkapazitaet,Arbeitsspeicher,CPU-Taktfrequenz,Bilddiagonale,Aufloesung,Festplatte,Akkukapazitaet,Aufloesung Hauptkamera,SSD-Speicherkapazitaet,Grafik-Controller-Serie
5502848,94.618256,Odys,Android,16,1,1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
12324541,489.74442,Apple,Apple iOS,32,2,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
11546129,445.53912,Apple,Apple iOS,16,unknown,unknown,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
1605594,119.04634,Acer,Android,16,1,1.3,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
12564201,1545.4498,HP,Windows 10 Professional 64-Bit,128,4,1.4,25 cm (10"),1280x800,128,unknown,unknown,128,Intel HD Graphics 400
9565790,815.93,Wortmann,Windows 10 Professional,240,8,2.3,38 cm (15"),1920x1080,240,unknown,unknown,240,NVIDIA GeForce GTX 900
2055913,188.19434,Medion,Windows 10 Home,64,2,1.3,28 cm (11"),unknown,64,unknown,unknown,unknown,unknown
7969755,644.5234,Lenovo,unknown,64,4,2.2,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
14458233,7211.5073,Apple,Apple iOS,128,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
12609675,482.75333,Asus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
11483719,188.4622,MIMO,Windows XP Home,unknown,1,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
12769585,56009.38,Huawei Technologies,Android,16,2,2,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
12998144,199.39,Samsung,Android,16,2,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
11009204,95.404015,Hamlet,Android,16,1,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
6228576,647.0,Samsung,Android,16,unknown,1.5,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
15935742,188.19275,TrekStor,Windows 10 Home,32,2,1.4,28 cm (11"),unknown,unknown,unknown,unknown,unknown,unknown
6345309,1860.3368,Microsoft,unknown,512,8,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
16117922,831.8333,Acer,Windows 10 Home,256,8,2.5,36 cm (14"),1920x1080,256,unknown,unknown,256,Intel HD Graphics 500
2485468,315.87,ALLNET,Android,unknown,unknown,unknown,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
2659629,81.73875,Lenovo,Android,8,1,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
6309687,404.45456,Samsung,Android,16,1.5,1.2,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
16079546,91.780075,Xoro,Android,8,1,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
6380514,179.14735,Medion,Android,32,2,1.8,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
4516385,917.0,Microsoft,unknown,128,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
11413862,371.97787,Samsung,Android,32,3,1.8,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
4588877,4311.3247,Xplore Technologies,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1987779,116.20532,Unbekannt,Android,16,2,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
12951499,1371.1299,HP,Windows 8 Embedded,64,4,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
15466995,293.01782,Samsung,Android,8,1.5,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
16378509,233.96333,Forza Refurbished,unknown,16,unknown,1.4,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
3653769,943.6174,Apple,unknown,128,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
994683,774.23,Lenovo,Windows 10 Home,256,8,2.3,33 cm (13"),3200x1800,256,unknown,unknown,256,Intel HD Graphics 500
12140584,1875.0,Microsoft,Windows 10 Professional 64-Bit,512,16,2.2,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
22861,211.11418,Asus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
5912328,715.2783,Asus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
