article_id,brand,Betriebssystem,Speicherkapazitaet,Arbeitsspeicher,CPU-Taktfrequenz,Bilddiagonale,Aufloesung,Akkukapazitaet,Aufloesung_Hauptkamera,Grafik-Controller-Serie,avg_price
2967870,Microsoft,Windows 10 Professional 64-Bit,1000,16,2.6,33 cm (13"),3000x2000,unknown,NaN,NVIDIA GeForce GTX 900,2762.8018
2571260,Microsoft,Windows 10 Professional,256,8,NaN,30 cm (12"),2736x1824,unknown,NaN,Intel HD Graphics 500,1026.3351
2524028,Microsoft,Windows 10 Professional 64-Bit,256,16,2.2,30 cm (12"),2736x1824,unknown,NaN,unknown,1593.6234
2567429,HP,Windows 10 Home 64-Bit,64,4,1.4,25 cm (10"),1280x800,unknown,NaN,unknown,386.15436
3033626,TrekStor,Windows 10 Home,32,2,1.4,28 cm (11"),1920x1080,unknown,NaN,unknown,178.7346
2545564,Lenovo,Windows 10 Home 64-Bit,1000,NaN,2.4,38 cm (15"),1920x1080,unknown,NaN,Intel HD Graphics 5000,739.91504
3001499,Acer,Windows 10 Home 64-Bit,32,2,1.6,28 cm (11"),1366x768,unknown,NaN,unknown,316.37857
3349694,Asus,Windows 10 Home,256,NaN,1,33 cm (13"),1920x1080,unknown,NaN,Intel HD Graphics 600,716.055
3062786,HP,Windows 10 Professional 64-Bit,256,8,2.3,33 cm (13"),1920x1080,unknown,NaN,Intel HD Graphics 500,1908.6719
2954701,Dell,Windows 10 Professional 64-Bit,256,4,1.1,25 cm (10"),1920x1080,unknown,NaN,Intel HD Graphics 500,797.371
2945771,HP,Windows 10 Professional 64-Bit,512,8,2.6,33 cm (13"),2560x1440,unknown,NaN,Intel HD Graphics 500,2530.4385
2953790,Acer,Windows 10 Home 64-Bit,128,8,2.3,38 cm (15"),1920x1080,unknown,NaN,NVIDIA GeForce GTX 900,870.94
2814849,Acer,Windows 10 Professional 64-Bit,256,8,2.3,33 cm (13"),1920x1080,unknown,NaN,Intel HD Graphics 500,999.4491
3066625,Lenovo,Windows 10 Home 64-Bit,1000,8,2,36 cm (14"),1920x1080,unknown,NaN,NVIDIA GeForce GTX 900,547.81555
3386287,Acer,Chrome OS,32,4,2.1,33 cm (13"),1920x1080,unknown,NaN,unknown,367.31897
3325265,Asus,Windows 10 Home 64-Bit,64,4,1.4,25 cm (10"),1280x800,unknown,NaN,Intel HD Graphics 400,308.5928
3325266,Asus,Windows 10 Professional 64-Bit,128,4,1.4,25 cm (10"),1280x800,unknown,NaN,Intel HD Graphics 400,361.58438
3337591,Asus,Windows 10 Home 64-Bit,64,2,1.4,25 cm (10"),1280x800,unknown,NaN,Intel HD Graphics 400,244.92793
3325264,Asus,Windows 10 Home 64-Bit,128,4,1.4,25 cm (10"),1280x800,unknown,NaN,Intel HD Graphics 400,297.2621
3339787,Acer,Windows 10 Home 32-Bit,32,2,1.4,25 cm (10"),1280x800,unknown,NaN,unknown,281.06915
3325263,Asus,Windows 10 Professional 64-Bit,256,8,2.3,30 cm (12"),2880x1620,unknown,NaN,Intel HD Graphics 500,1112.5801
3040749,Acer,Windows 10 Home 64-Bit,256,8,1.3,36 cm (14"),1920x1080,unknown,NaN,Intel HD Graphics 600,1044.527
2986026,HP,Windows 10 Professional 64-Bit,256,8,2.4,33 cm (13"),1920x1080,unknown,NaN,Intel HD Graphics 500,1797.6699
2969076,HP,Windows 10 Home 64-Bit,512,8,2.5,33 cm (13"),2560x1440,unknown,NaN,Intel HD Graphics 500,1831.6685
3000723,HP,Windows 10 Home 64-Bit,512,8,2.2,33 cm (13"),2560x1440,unknown,NaN,Intel Iris Graphics 500,1583.4867
2988089,HP,Windows 10 Home 64-Bit,256,8,2.2,33 cm (13"),2560x1440,unknown,NaN,Intel Iris Graphics 500,1252.106
2338508,Lenovo,Windows 10 Home 64-Bit,1000,4,2.3,38 cm (15"),1920x1080,unknown,NaN,NVIDIA GeForce GTX 900,551.1322
3386132,Lenovo,Windows 10 Home 64-Bit,128,4,2.9,36 cm (14"),1366x768,unknown,NaN,AMD Radeon R5,456.40555
3386133,Lenovo,Windows 10 Home 64-Bit,128,8,2.9,36 cm (14"),1366x768,unknown,NaN,AMD Radeon R5,502.8789
3386134,Lenovo,Windows 10 Home 64-Bit,128,8,2.5,36 cm (14"),1920x1080,unknown,NaN,Intel HD Graphics 600,573.92285
3041536,Lenovo,Windows 10 Home 64-Bit,1000,8,2.5,36 cm (14"),1920x1080,unknown,NaN,Intel HD Graphics 600,619.334
3010312,Lenovo,Windows 10 Home 64-Bit,256,8,2.3,38 cm (15"),1920x1080,unknown,NaN,unknown,789.85297
3050086,Lenovo,Windows 10 Home 64-Bit,256,4,1,28 cm (11"),1920x1080,unknown,NaN,Intel HD Graphics 600,709.00757
3041539,Lenovo,Windows 10 Home 64-Bit,256,8,2.7,36 cm (14"),1920x1080,unknown,NaN,NVIDIA GeForce GTX 900,995.8049
3353259,Lenovo,Android,64,4,1.4,25 cm (10"),1920x1200,unknown,NaN,Intel HD Graphics 400,411.95444
3032130,Lenovo,Android,64,4,1.4,25 cm (10"),1920x1200,unknown,NaN,unknown,398.79385
