brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
Clairefontaine	unknown	violett	500	80	11.428125999999999	11.295459747314453
Xerox	DIN A4 (210 x 297 mm)	weiss	250	200	11.598751	11.313128471374512
Clairefontaine	DIN A3 (297 x 420 mm)	weiss	500	90	13.331935999999999	10.934605598449707
Mayer-Kuvert-network	DIN A4 (210 x 297 mm)	rot	250	80	8.869999	6.845544338226318
CreativPapier	DIN A4 (210 x 297 mm)	weiss	500	100	81.80334	85.27430725097656
Clairefontaine	DIN A3 (297 x 420 mm)	orange	250	160	12.715023	11.742695808410645
Clairefontaine	unknown	blau	500	80	14.317425	15.741827011108398
Lyreco	DIN A4 (210 x 297 mm)	lachs	500	80	6.2028584	7.470010757446289
Clairefontaine	unknown	blau	250	120	14.896032	11.74288272857666
HP	DIN A4 (210 x 297 mm)	weiss	2500	80	19.276789	24.094655990600586
Papier Union	unknown	californiablau	100	170	38.079426	11.480486869812012
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	80	6.637053999999999	7.290247440338135
Soennecken	DIN A4 (210 x 297 mm)	gruen	500	80	6.9953065	4.993512153625488
Sihl	unknown	weiss	50	280	4.611739599999999	12.565020561218262
Mondi	DIN A3 (297 x 420 mm)	vanille	500	80	12.937659	9.9908447265625
Clairefontaine	DIN A4 (210 x 297 mm)	rosa	500	100	6.4604163	6.528507232666016
Brunnen Baier & Schneider	unknown	unknown	unknown	unknown	3.36	3.356055736541748
Clairefontaine	unknown	violett	500	80	14.251157999999998	11.295459747314453
Clairefontaine	unknown	gelb	250	120	11.069124	14.649598121643066
Staufen	DIN A4 (210 x 297 mm)	creme	35	120	1.8746341	1.8626773357391357
Arjowiggins	unknown	perlgrau	100	90	4.1014996	7.724782466888428
Unbekannt	DIN A4 (210 x 297 mm)	weiss	250	160	5.993732	6.995345115661621
Mondi	DIN A4 (210 x 297 mm)	weiss	125	250	6.184914	12.319554328918457
5 Star	DIN A4 (210 x 297 mm)	weiss	100000	80	696.83295	749.7664184570312
Inapa	DIN A3 (297 x 420 mm)	unknown	500	80	9.879146	7.327061176300049
Igepa	DIN A4 (210 x 297 mm)	rosa	unknown	80	6.953744400000001	4.78242301940918
Portucel Soporcel	unknown	unknown	unknown	unknown	36.319996	31.954355239868164
Mondi	DIN A3 (297 x 420 mm)	sonnengelb	500	160	14.931498000000001	16.34598159790039
Papier Union	unknown	elfenbein	100	400	11.529251	95.69922637939453
Clairefontaine	DIN A3 (297 x 420 mm)	rosa	500	80	9.045417	18.670181274414062
Discovery	DIN A4 (210 x 297 mm)	weiss	500	70	6.213334	3.8221545219421387
Image	DIN SRA3 (320 x 450 mm)	weiss	125	250	19.034166	9.11398983001709
Papier Union	unknown	dunkelbraun	100	400	156.25829	44.58474349975586
Papier Union	unknown	rosa	100	120	9.912249000000001	31.198627471923828
HP	DIN A4 (210 x 297 mm)	weiss	2500	80	79.849174	24.094655990600586
Papier Union	unknown	rosa	100	120	5.1292504999999995	31.198627471923828
Clairefontaine	DIN A3 (297 x 420 mm)	weiss	125	280	11.2725	9.245436668395996
Xerox	DIN A4 (210 x 297 mm)	weiss	500	80	4.96625	8.387626647949219
Unbekannt	DIN A4 (210 x 297 mm)	weiss	500	80	4.2871428	9.780723571777344
Unbekannt	DIN A4 (210 x 297 mm)	weiss	500	80	3.59	9.780723571777344
Steinbeis Papier	DIN A4 (210 x 297 mm)	unknown	500	80	5.6527142999999995	4.470883369445801
Elco	DIN A4 (210 x 297 mm)	blau	200	80	7.771666499999999	9.59261417388916
Papyrus	DIN A4 (210 x 297 mm)	neongelb	100	80	3.3193324	4.816323757171631
Xerox	DIN A3 (297 x 420 mm)	weiss	250	150	18.473753	16.573633193969727
Mondi	DIN A3 (297 x 420 mm)	weiss	500	90	22.50094	15.54338264465332
HP	DIN A4 (210 x 297 mm)	weiss	250	200	7.256057000000001	16.487550735473633
Unbekannt	DIN A4 (210 x 297 mm)	weiss	250	160	6.4503875	6.995345115661621
Papyrus	DIN A4 (210 x 297 mm)	gelb	250	160	8.254435	6.8965935707092285
Mondi	DIN A4 (210 x 297 mm)	weiss	250	200	7.313333	11.103071212768555
Clairefontaine	DIN A3 (297 x 420 mm)	violett	250	120	10.224167999999999	8.352606773376465
Mondi	DIN A4 (210 x 297 mm)	weiss	500	80	3.975	37.55560302734375
Avery Zweckform	DIN A4 (210 x 297 mm)	weiss	25	200	25.92	12.7212495803833
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	250	200	9.5925	10.904696464538574
Mondi	unknown	weiss	750	280	18.317104	15.027129173278809
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	500	100	5.7531753	7.531013488769531
Clairefontaine	unknown	gelb	500	80	17.877626	11.008963584899902
Portucel Soporcel	DIN A3 (297 x 420 mm)	weiss	2500	90	34.69802	16.8631534576416
Clairefontaine	DIN A4 (210 x 297 mm)	kanariengelb	250	160	9.266250999999999	5.67539119720459
Igepa	DIN A4 (210 x 297 mm)	unknown	500	80	4.6685705	2.8679146766662598
Papier Union	unknown	braun	100	120	9.929248	22.446836471557617
Xerox	unknown	weiss	500	100	18.660951999999998	16.149595260620117
Clairefontaine	DIN A4 (210 x 297 mm)	clementine	50	160	3.8122356	5.165544509887695
Avery Zweckform	DIN A4 (210 x 297 mm)	weiss	10	180	15.6413355	19.344694137573242
Mondi	DIN A3 (297 x 420 mm)	weiss	250	135	14.503333	12.386122703552246
