brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
Clairefontaine	unknown	violett	500	80	11.428125999999999	12.618979454040527
Xerox	DIN A4 (210 x 297 mm)	weiss	250	200	11.598751	11.561009407043457
Clairefontaine	DIN A3 (297 x 420 mm)	weiss	500	90	13.331935999999999	11.642555236816406
Mayer-Kuvert-network	DIN A4 (210 x 297 mm)	rot	250	80	8.869999	6.407090187072754
CreativPapier	DIN A4 (210 x 297 mm)	weiss	500	100	81.80334	100.24517059326172
Clairefontaine	DIN A3 (297 x 420 mm)	orange	250	160	12.715023	12.066777229309082
Clairefontaine	unknown	blau	500	80	14.317425	16.422119140625
Lyreco	DIN A4 (210 x 297 mm)	lachs	500	80	6.2028584	4.420886039733887
Clairefontaine	unknown	blau	250	120	14.896032	11.961060523986816
HP	DIN A4 (210 x 297 mm)	weiss	2500	80	19.276789	25.302236557006836
Papier Union	unknown	californiablau	100	170	38.079426	15.979264259338379
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	80	6.637053999999999	7.372062683105469
Soennecken	DIN A4 (210 x 297 mm)	gruen	500	80	6.9953065	5.6206231117248535
Sihl	unknown	weiss	50	280	4.611739599999999	10.03218936920166
Mondi	DIN A3 (297 x 420 mm)	vanille	500	80	12.937659	12.327628135681152
Clairefontaine	DIN A4 (210 x 297 mm)	rosa	500	100	6.4604163	6.834712982177734
Brunnen Baier & Schneider	unknown	unknown	unknown	unknown	3.36	3.453138828277588
Clairefontaine	unknown	violett	500	80	14.251157999999998	12.618979454040527
Clairefontaine	unknown	gelb	250	120	11.069124	14.953253746032715
Staufen	DIN A4 (210 x 297 mm)	creme	35	120	1.8746341	1.73838210105896
Arjowiggins	unknown	perlgrau	100	90	4.1014996	7.464240550994873
Unbekannt	DIN A4 (210 x 297 mm)	weiss	250	160	5.993732	6.959811210632324
Mondi	DIN A4 (210 x 297 mm)	weiss	125	250	6.184914	12.55927562713623
5 Star	DIN A4 (210 x 297 mm)	weiss	100000	80	696.83295	754.1253662109375
Inapa	DIN A3 (297 x 420 mm)	unknown	500	80	9.879146	7.4445343017578125
Igepa	DIN A4 (210 x 297 mm)	rosa	unknown	80	6.953744400000001	3.258099317550659
Portucel Soporcel	unknown	unknown	unknown	unknown	36.319996	30.738296508789062
Mondi	DIN A3 (297 x 420 mm)	sonnengelb	500	160	14.931498000000001	14.852568626403809
Papier Union	unknown	elfenbein	100	400	11.529251	97.37255096435547
Clairefontaine	DIN A3 (297 x 420 mm)	rosa	500	80	9.045417	19.133319854736328
