brand	Betriebssystem	Speicherkapazitaet	Arbeitsspeicher	CPU-Taktfrequenz	Bilddiagonale	Festplatte	price	prediction
Apple	unknown	128	unknown	unknown	"23 cm (9"")"	unknown	747.9435	688.8543701171875
Apple	unknown	16	2	1.5	unknown	unknown	346.86084	1763.913818359375
Winmate	unknown	unknown	unknown	unknown	unknown	unknown	1622.445	1900.085693359375
Apple	unknown	128	unknown	unknown	"23 cm (9"")"	unknown	479.28222999999997	688.8543701171875
Phoenix Contact	Windows 7 Ultimate 64-Bit	unknown	unknown	1.6	"33 cm (13"")"	unknown	3675.0359999999996	4078.171630859375
Tarox	Windows 10 Professional	64	2	unknown	"25 cm (10"")"	unknown	175.36435	1932.9019775390625
Archos	Android	64	1	1.3	"25 cm (10"")"	unknown	99.62874599999999	943.0654907226562
Apple	unknown	128	unknown	unknown	"30 cm (12"")"	unknown	702.59766	1307.5177001953125
Lenovo	Android	unknown	2	1.3	"25 cm (10"")"	unknown	5058.055	3199.4638671875
Lenovo	Android	64	4	1.4	"25 cm (10"")"	64	400.73526	267.502197265625
Apple	unknown	32	unknown	unknown	"18 cm (7"")"	unknown	260.87833	489.05816650390625
unknown	unknown	32	2	unknown	"28 cm (11"")"	unknown	167.10931000000002	289.0562744140625
Samsung	Android	32	3	1.9	"23 cm (9"")"	unknown	381.15222	397.2825012207031
Estar	unknown	unknown	8	1.2	"18 cm (7"")"	unknown	66.956	266.3890075683594
Apple	unknown	16	unknown	unknown	unknown	unknown	340.93667999999997	984.20556640625
Apple	unknown	unknown	unknown	unknown	unknown	unknown	331.67224	2222.990478515625
Apple	unknown	32	unknown	unknown	"23 cm (9"")"	unknown	806.3149400000001	524.7327880859375
Apple	Apple iOS	256	2	2.2	unknown	unknown	3555.9065	4141.35400390625
AQISTON Digital	Android	4	1	1.2	"18 cm (7"")"	unknown	92.466675	1522.7320556640625
Samsung	Android	32	3	1.8	"23 cm (9"")"	unknown	1494.914	5138.2978515625
Axdia	Android	8	1	1.2	unknown	unknown	139.88103	78.14762115478516
Asus	unknown	128	4	1.4	"25 cm (10"")"	128	9441.087	368.63385009765625
Apple	Windows XP Home	16	1	1.3	"23 cm (9"")"	unknown	351.70502	399.98321533203125
Asus	Windows 10 Home 64-Bit	256	8	3.1	"33 cm (13"")"	256	870.0975300000001	7401.97265625
Apple	Apple iOS	128	unknown	unknown	"23 cm (9"")"	unknown	540.20557	606.7421875
Samsung	Android	16	2	1.6	"25 cm (10"")"	unknown	238.04332999999997	301.3753967285156
Samsung	unknown	unknown	unknown	unknown	unknown	unknown	411.59396	1184.2291259765625
unknown	Android	unknown	1	1.2	"25 cm (10"")"	unknown	24650.334	11416.818359375
Apple	Apple iOS	64	unknown	unknown	"18 cm (7"")"	unknown	545.6885	520.635498046875
Asus	unknown	32	2	1.5	"25 cm (10"")"	32	145.32133000000002	313.4006652832031
Archos	Android	16	1	1.3	"18 cm (7"")"	unknown	53.258953000000005	143.06375122070312
Asus	Windows 10 Home 64-Bit	128	2	1.4	"25 cm (10"")"	128	366.1706	222.20152282714844
Apple	unknown	128	unknown	unknown	"30 cm (12"")"	unknown	2606.1062	1307.5177001953125
Panasonic	Windows 7 Professional	128	4	1.1	"18 cm (7"")"	unknown	2214.5496	1935.4556884765625
Samsung	Android	32	3	1.3	"23 cm (9"")"	unknown	430.91	583.5551147460938
Hamlet	Android	8	1	1.6	"25 cm (10"")"	unknown	99.483986	76.19278717041016
Acer	Android	32	unknown	2.4	"20 cm (8"")"	unknown	1178.6434	599.0870361328125
Apple	MacOS X	32	2	unknown	"20 cm (8"")"	unknown	465.6211	2691.675537109375
Acer	Android	16	1	1.3	"25 cm (10"")"	unknown	165.55452	238.3435516357422
Asus	Windows 10 Professional	32	2	1.4	"25 cm (10"")"	32	228.95192999999998	279.9122009277344
Samsung	Android	32	3	1.8	"23 cm (9"")"	unknown	416.38	5138.2978515625
Getac	unknown	unknown	unknown	unknown	unknown	unknown	1693.9268	1875.9267578125
Apple	unknown	unknown	unknown	unknown	unknown	unknown	4556.092000000001	2222.990478515625
unknown	Android	unknown	unknown	1.2	"18 cm (7"")"	unknown	1721.6266	929.258544921875
Acer	Android	16	1	1.3	"18 cm (7"")"	unknown	94.56	186.6575469970703
Apple	Apple iOS	64	unknown	unknown	"23 cm (9"")"	unknown	572.3229	463.8287048339844
Microsoft	unknown	unknown	unknown	unknown	unknown	unknown	1474.0	1775.8271484375
Samsung	Android	32	3	1.9	"20 cm (8"")"	unknown	324.16556	559.9429931640625
Microsoft	unknown	unknown	unknown	unknown	unknown	unknown	1245.0	1775.8271484375
Microsoft	unknown	unknown	unknown	unknown	unknown	unknown	1059.0	1775.8271484375
HP	Windows 8.1 Pro 64-Bit	64	4	1.6	"25 cm (10"")"	unknown	847.46155	923.2449340820312
Asus	unknown	unknown	unknown	unknown	unknown	unknown	276.31665	23239.16015625
Samsung	Android	8	1.5	1.3	"23 cm (9"")"	unknown	528.51935	399.7086486816406
Telekom	Android	16	2	1.6	"25 cm (10"")"	unknown	251.53368999999998	533.7745971679688
Hannspree	Android	8	8	1.6	"58 cm (23"")"	unknown	365.40335	270.0085144042969
Getac	Android	16	1	1	"18 cm (7"")"	unknown	1329.7526	1259.873291015625
Apple	unknown	64	unknown	unknown	"23 cm (9"")"	unknown	467.82477	485.4367980957031
Microsoft	unknown	128	8	unknown	"30 cm (12"")"	unknown	1003.4278	887.7144775390625
Samsung	Android	32	3	1.8	"20 cm (8"")"	unknown	343.50777999999997	3864.85498046875
Dell	unknown	500	4	unknown	"33 cm (13"")"	500	525.6965299999999	656.7844848632812
HP	Windows 8.1 Pro 64-Bit	256	8	2.6	"33 cm (13"")"	256	1762.2479	925.384765625
Lenovo	Windows 10 Home	256	8	1.2	"30 cm (12"")"	256	1178.4484	1447.1424560546875
Asus	unknown	unknown	unknown	unknown	unknown	unknown	104.49198	23239.16015625
Lenovo	Windows 10 Professional	32	2	1.4	"25 cm (10"")"	unknown	235.03002999999998	245.2739715576172
Fujitsu	unknown	256	unknown	unknown	"30 cm (12"")"	unknown	13235.131000000001	7223.31005859375
Asus	Windows 10 Professional	512	8	2.5	"30 cm (12"")"	512	14964.582	1799.5172119140625
Asus	Android	16	2	1.2	"20 cm (8"")"	unknown	198.92001000000002	249.61221313476562
Asus	Android	16	2	1.3	"25 cm (10"")"	unknown	145.81667	233.93373107910156
Lenovo	unknown	unknown	unknown	unknown	unknown	unknown	140.73067	5343.92041015625
Thomson	unknown	16	1	1.3	"20 cm (8"")"	unknown	73.10687	104.37451934814453
Asus	Android	64	1	1.7	"25 cm (10"")"	unknown	535.0	502.7990417480469
Microsoft	unknown	256	8	unknown	"30 cm (12"")"	unknown	1607.875	1280.6854248046875
Fujitsu	Windows 8.1 Pro 64-Bit	128	4	1.6	"20 cm (8"")"	128	1073.4609	1112.1094970703125
Apple	unknown	32	unknown	unknown	"23 cm (9"")"	unknown	583.2533	524.7327880859375
unknown	unknown	32	2	unknown	"28 cm (11"")"	unknown	267.25735	289.0562744140625
HP	Windows 10 Home 64-Bit	32	2	1.4	"25 cm (10"")"	32	260.57626	142.52255249023438
Lenovo	Android	16	2	1.3	"25 cm (10"")"	unknown	7985.4175	166.5098114013672
Acer	Android	16	1	1.3	"25 cm (10"")"	unknown	253.67075	238.3435516357422
Samsung	Android	unknown	1	1.6	unknown	unknown	201.97664	1060.4642333984375
Lenovo	unknown	unknown	unknown	unknown	unknown	unknown	795.5033599999999	5343.92041015625
Apple	unknown	64	unknown	unknown	"23 cm (9"")"	unknown	430.13226	485.4367980957031
Microsoft	unknown	128	8	unknown	"30 cm (12"")"	unknown	935.3689999999999	887.7144775390625
Samsung	Android	16	unknown	1	"25 cm (10"")"	unknown	205.26836	450.0882873535156
Microsoft	Windows 10 Professional	256	8	unknown	"30 cm (12"")"	unknown	3122.9553	1655.118408203125
Apple	Apple iOS	64	unknown	unknown	"23 cm (9"")"	unknown	549.60004	463.8287048339844
Samsung	Android	8	1.5	1.3	"18 cm (7"")"	unknown	120.80332	390.3601989746094
Apple	unknown	256	unknown	unknown	"30 cm (12"")"	unknown	911.1374	1021.0135498046875
Microsoft	unknown	128	8	unknown	"30 cm (12"")"	unknown	875.8934300000001	887.7144775390625
Getac	unknown	128	4	unknown	"25 cm (10"")"	128	2430.5461	2402.696044921875
Samsung	Android	8	1.5	1.3	unknown	unknown	129.17866999999998	218.27842712402344
Lenco	Android	8	0.5	1.3	"13 cm (5"")"	unknown	92.02334	85.02788543701172
Asus	Android	16	2	1.2	"25 cm (10"")"	unknown	174.685	361.6558532714844
Samsung	Android	16	1	1.6	"25 cm (10"")"	unknown	754.0	336.24212646484375
Danew	Windows 8.1	16	1	1.3	"20 cm (8"")"	unknown	81.76325	548.3088989257812
Apple	unknown	16	unknown	unknown	"18 cm (7"")"	unknown	453.14655	401.9859313964844
unknown	Android	unknown	unknown	1.2	"18 cm (7"")"	unknown	1292.7966	929.258544921875
Microsoft	unknown	512	8	unknown	"30 cm (12"")"	unknown	1860.3917	1828.86767578125
Apple	unknown	unknown	unknown	unknown	unknown	unknown	6504.4106	2222.990478515625
Apple	unknown	16	unknown	unknown	"23 cm (9"")"	unknown	365.2778	578.36083984375
Samsung	Android	32	unknown	unknown	unknown	unknown	524.49	898.5455932617188
Samsung	Android	8	1.5	1.3	"18 cm (7"")"	unknown	129.61658	390.3601989746094
Apple	Apple iOS	128	unknown	unknown	"30 cm (12"")"	unknown	969.0161	1331.8577880859375
Apple	unknown	16	unknown	unknown	"23 cm (9"")"	unknown	502.52887000000004	578.36083984375
Unbekannt	Apple iOS	128	2	2.2	"23 cm (9"")"	unknown	3543.1846	2242.78173828125
Apple	unknown	128	unknown	unknown	"30 cm (12"")"	unknown	1011.0699	1307.5177001953125
Umax	Android	8	1	1.3	"18 cm (7"")"	unknown	444.8534	542.570068359375
Asus	Android	100	unknown	unknown	unknown	unknown	2712.4724	2087.920654296875
Unbekannt	unknown	128	unknown	unknown	"18 cm (7"")"	unknown	527.98584	359.7668151855469
Microsoft	Windows 10 Professional 64-Bit	256	16	2.2	"30 cm (12"")"	unknown	1556.8215	1497.70849609375
Apple	unknown	16	unknown	unknown	"18 cm (7"")"	unknown	323.69485	401.9859313964844
Asus	Android	16	1	1.2	"18 cm (7"")"	unknown	119.37992	166.6112060546875
Archos	Android	16	1	1.4	"25 cm (10"")"	unknown	146.86156	205.47080993652344
Apple	unknown	128	2	1.5	"18 cm (7"")"	unknown	5277.219	5160.51513671875
Microsoft	unknown	unknown	unknown	unknown	unknown	unknown	1582.5016	1775.8271484375
Microsoft	Windows 10 Professional 64-Bit	128	4	0.9	"30 cm (12"")"	unknown	870.72504	2008.424072265625
Samsung	Android	16	1.5	1.2	"25 cm (10"")"	unknown	387.0	311.8909912109375
HP	Windows 10 Professional 64-Bit	64	4	1.6	"25 cm (10"")"	unknown	775.19385	1497.4241943359375
Samsung	Android	32	2	1.6	"46 cm (18"")"	unknown	522.46	534.44677734375
Apple	unknown	unknown	unknown	unknown	unknown	unknown	958.8815	2222.990478515625
Axdia	unknown	unknown	unknown	unknown	unknown	unknown	170.91573	3313.52099609375
Samsung	Windows 10 Professional	128	4	2.2	"30 cm (12"")"	unknown	809.16	1635.4290771484375
Microsoft	unknown	128	8	unknown	"30 cm (12"")"	unknown	918.36536	887.7144775390625
Asus	unknown	unknown	unknown	unknown	unknown	unknown	368.87778	23239.16015625
Asus	Android	16	2	1.3	"20 cm (8"")"	unknown	131.81847	148.41246032714844
Lenovo	Windows 10 Professional	256	8	1.2	"30 cm (12"")"	unknown	1359.1266	8967.25
Apple	unknown	16	2	unknown	"23 cm (9"")"	unknown	1763.3229	2866.727783203125
Lenco	Android	8	1	1.2	"23 cm (9"")"	unknown	114.71	89.41742706298828
Billow	Android	8	1	1.4	"18 cm (7"")"	unknown	45.090004	56.910736083984375
Apple	unknown	32	unknown	unknown	"30 cm (12"")"	unknown	2486.4866	756.9320068359375
Lenovo	Android	unknown	unknown	unknown	"20 cm (8"")"	unknown	117.28	3439.879638671875
Lenco	Android	8	0.5	1.3	"18 cm (7"")"	unknown	102.78334	100.65021514892578
Apple	unknown	16	unknown	unknown	"18 cm (7"")"	unknown	421.93102999999996	401.9859313964844
Microsoft	unknown	unknown	unknown	unknown	unknown	unknown	1708.4268	1775.8271484375
Samsung	Android	16	1.5	1.2	"20 cm (8"")"	unknown	420.81116	540.99169921875
Acer	unknown	16	1	1.3	"18 cm (7"")"	unknown	181.74023	134.9987030029297
Acer	unknown	unknown	unknown	unknown	unknown	unknown	126.71234	818.766845703125
Asus	unknown	unknown	unknown	unknown	unknown	unknown	949.1067	23239.16015625
HP	Windows 8.1 Pro 64-Bit	128	4	1.6	"28 cm (11"")"	128	547.5321700000001	1021.7362670898438
Thomson	Windows 10 Home	64	2	1.3	"25 cm (10"")"	unknown	209.85457000000002	236.1782989501953
Asus	Android	16	1	unknown	"18 cm (7"")"	unknown	116.42063	161.75277709960938
HP	Windows 10 Professional	64	4	1.6	"25 cm (10"")"	unknown	2058.09	999.945556640625
Acer	unknown	unknown	unknown	unknown	unknown	unknown	220.52998	818.766845703125
Samsung	Android	32	3	1.8	"20 cm (8"")"	unknown	283.5032	3864.85498046875
Medion	unknown	unknown	unknown	unknown	unknown	unknown	682.3454	177.787841796875
Apple	Apple iOS	64	unknown	unknown	"23 cm (9"")"	unknown	743.6074	463.8287048339844
Apple	unknown	unknown	unknown	unknown	unknown	unknown	2943.5027	2222.990478515625
Samsung	Android	32	3	1.8	"20 cm (8"")"	unknown	937.02026	3864.85498046875
Apple	unknown	16	unknown	unknown	unknown	unknown	340.93667999999997	984.20556640625
Unbekannt	Android	32	2	1.3	"25 cm (10"")"	unknown	121.30833	348.8491516113281
Apple	Windows XP Professional	128	unknown	unknown	"23 cm (9"")"	unknown	527.37415	611.0255737304688
Panasonic	Windows 8.1	128	4	1.6	"18 cm (7"")"	unknown	2170.21	1710.262939453125
