set_id,price,brand,Format,Farbe,Verpackungseinheit,Papierstaerke
11062911,3.6300004,Brunnen Baier & Schneider,DIN A4 (210 x 297 mm),chamois,25,160
10815266,4.9898114,Soennecken,DIN A4 (210 x 297 mm),weiss,500,80
8306044,6.450817,Staples,DIN A4 (210 x 297 mm),weiss,50,180
1191374,8.757536,Mondi,DIN A4 (210 x 297 mm),gelb,250,160
2761972,3.3369193,Clairefontaine,DIN A4 (210 x 297 mm),gelb,100,80
2818563,8.061249,Papier Union,DIN A5 (148 x 210 mm),weiss,100,320
11629218,5.8930764,UPM,DIN A4 (210 x 297 mm),weiss,500,80
9918499,14.6271715,Clairefontaine,unknown,kirschrot,500,80
3805926,3.0915482,Connect,DIN A4 (210 x 297 mm),unknown,500,80
13870443,7.172726,Papyrus,DIN A4 (210 x 297 mm),rot,500,80
10323303,6.0327816,projectiondesign,DIN A4 (210 x 297 mm),unknown,250,120
15281049,12.608435,Papyrus,DIN A4 (210 x 297 mm),weiss,250,220
4513489,9.762046,Staples,DIN A3 (297 x 420 mm),mittelblau,500,80
10638305,13.7518015,Clairefontaine,DIN A3 (297 x 420 mm),weiss,250,160
7495457,30.845743,Papier Union,DIN A2 (420 x 594 mm),geranienrot,100,120
4261270,11.989435,Image,DIN A3 (297 x 420 mm),weiss,250,160
10464937,60.843822,Papier Union,unknown,ziegelrot,100,240
4547703,687.9423,Steinbeis Papier,DIN A4 (210 x 297 mm),unknown,2500,80
15868670,4.965999,Arjowiggins,unknown,blau,100,90
4299893,34.618256,Schaefer Group,unknown,weiss,5000,80
478881,9.875866,Papyrus,DIN A3 (297 x 420 mm),weiss,500,80
3390235,7.2660794,Mondi,DIN A4 (210 x 297 mm),creme,250,160
7458497,12.88825,Papier Union,unknown,tuerkis,100,320
8432511,9.727203,HP,DIN A4 (210 x 297 mm),weiss,500,100
4810285,4.3454556,Staples,DIN A4 (210 x 297 mm),elfenbein,250,120
485162,3.5462496,Xerox,DIN A4 (210 x 297 mm),weiss,500,75
10464945,7.9095016,Papier Union,unknown,ziegelrot,100,240
7495440,20.1395,Papier Union,DIN A2 (420 x 594 mm),weiss,100,90
6104120,14.926003,Mondi,DIN A3 (297 x 420 mm),rosa,250,160
15261450,12.078333,Xerox,DIN A3 (297 x 420 mm),weiss,500,80
14273548,8.446606,Mondi,DIN A4 (210 x 297 mm),gelb,250,160
44000,4.470713,Unbekannt,DIN A5 (148 x 210 mm),weiss,500,80
4982198,6.8023186,Papyrus,DIN A4 (210 x 297 mm),grau,250,160
6562186,19.531082,Clairefontaine,DIN A4 (210 x 297 mm),rot,500,80
6628439,14.204584,Clairefontaine,DIN SRA3 (320 x 450 mm),weiss,250,190
11523631,42.053288,Portucel Soporcel,DIN A3 (297 x 420 mm),weiss,2000,100
8888254,3.0752301,Clairefontaine,DIN A4 (210 x 297 mm),blau,50,160
8825562,4.3152494,Papier Union,unknown,aprikose,100,170
6447143,18.67432,Papyrus,DIN A4 (210 x 297 mm),weiss,2500,80
3486359,3.115676,Claas,DIN A5 (148 x 210 mm),weiss,250,160
6985770,5.634045,Staples,DIN A4 (210 x 297 mm),gruen,500,80
8830906,4.3219995,Papier Union,unknown,beige,100,170
7614566,6.461249,Clairefontaine,DIN A4 (210 x 297 mm),elfenbein,500,100
14872866,6.5874634,Mondi,DIN A4 (210 x 297 mm),weiss,500,100
8219985,17.547754,Arjowiggins,DIN A3 (297 x 420 mm),gruen,100,170
1651665,22.478561,HP,DIN A4 (210 x 297 mm),hochweiss,200,120
8851846,3.2216663,Inapa,DIN A4 (210 x 297 mm),weiss,500,80
6575492,6.538296,Mondi,DIN A4 (210 x 297 mm),blau,500,80
1276045,34.968536,Papier Union,unknown,vanille,100,170
15792911,11.412597,Clairefontaine,DIN A3 (297 x 420 mm),elfenbein,125,250
8115329,3.733333,RECYOFFICE,DIN A4 (210 x 297 mm),weiss,500,80
9712606,4.6020827,Clairefontaine,DIN A4 (210 x 297 mm),fuchsia,50,160
8531483,4.312222,Portucel Soporcel,DIN A4 (210 x 297 mm),unknown,500,100
11673320,24.552177,Metsae,DIN A4 (210 x 297 mm),weiss,500,80
5974449,12.238827,Igepa,DIN A3 (297 x 420 mm),weiss,250,160
16291098,5.469829,Mondi,unknown,unknown,500,80
